gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,percentage,work_experience,department,status
M,67,Others,91,Others,Commerce,58,No,CSE,Placed
M,79.33,Central,78.33,Others,Science,77.48,Yes,ECE,Placed
M,65,Central,68,Central,Arts,64,No,CSE,Placed
M,56,Central,52,Central,Science,52,No,CSE,Not Placed
M,85.8,Central,73.6,Central,Commerce,73.3,No,CSE,Placed
M,55,Others,49.8,Others,Science,67.25,Yes,CSE,Not Placed
F,46,Others,49.2,Others,Commerce,79,No,CSE,Not Placed
M,82,Central,64,Central,Science,66,Yes,CSE,Placed
M,73,Central,79,Central,Commerce,72,No,CSE,Placed
M,58,Central,70,Central,Commerce,61,No,ECE,Not Placed
M,58,Central,61,Central,Commerce,60,Yes,CSE,Placed
M,69.6,Central,68.4,Central,Commerce,78.3,Yes,CSE,Placed
F,47,Central,55,Others,Science,65,No,CSE,Not Placed
F,77,Central,87,Central,Commerce,59,No,CSE,Placed
M,62,Central,47,Central,Commerce,50,No,CSE,Not Placed
F,65,Central,75,Central,Commerce,69,Yes,CSE,Placed
M,63,Central,66.2,Central,Commerce,65.6,Yes,CSE,Placed
F,55,Central,67,Central,Commerce,64,No,CSE,Not Placed
F,63,Central,66,Central,Commerce,64,No,CSE,Not Placed
M,60,Others,67,Others,Arts,70,Yes,CSE,Placed
M,62,Others,65,Others,Commerce,66,No,CSE,Placed
F,79,Others,76,Others,Commerce,85,No,CSE,Placed
F,69.8,Others,60.8,Others,Science,72.23,No,CSE,Placed
F,77.4,Others,60,Others,Science,64.74,Yes,CSE,Placed
M,76.5,Others,97.7,Others,Science,78.86,No,CSE,Placed
F,52.58,Others,54.6,Central,Commerce,50.2,Yes,CSE,Not Placed
M,71,Others,79,Others,Commerce,66,Yes,CSE,Placed
M,63,Others,67,Others,Commerce,66,No,CSE,Placed
M,76.76,Others,76.5,Others,Commerce,67.5,Yes,CSE,Placed
M,62,Central,67,Central,Commerce,58,No,CSE,Not Placed
F,64,Central,73.5,Central,Commerce,73,No,CSE,Placed
F,67,Central,53,Central,Science,65,No,CSE,Not Placed
F,61,Central,81,Central,Commerce,66.4,No,CSE,Placed
F,87,Others,65,Others,Science,81,Yes,CSE,Placed
M,62,Others,51,Others,Science,52,No,CSE,Not Placed
F,69,Central,78,Central,Commerce,72,No,CSE,Placed
M,51,Central,44,Central,Commerce,57,No,CSE,Not Placed
F,79,Central,76,Central,Science,65.6,No,CSE,Placed
F,73,Others,58,Others,Science,66,No,CSE,Placed
M,81,Others,68,Others,Science,64,No,CSE,Placed
F,78,Central,77,Others,Commerce,80,No,CSE,Placed
F,74,Others,63.16,Others,Commerce,65,Yes,CSE,Not Placed
M,49,Others,39,Central,Science,65,No,CSE,Not Placed
M,87,Others,87,Others,Commerce,68,No,CSE,Placed
F,77,Others,73,Others,Commerce,81,Yes,CSE,Placed
